0,1,2,3,4,5,6,7,8,9,10,11,12
25.8(78.4),29.0(84.2),33.2(91.8),33.5(92.3),42.0(107.6),39.3(102.7),41.8(107.2),43.0(109.4),38.4(101.1),35.6(96.1),32.0(89.6),25.2(77.4),43.0(109.4)
16.4(61.5),17.1(62.8),19.3(66.7),20.8(69.4),23.4(74.1),27.1(80.8),29.7(85.5),30.2(86.4),27.9(82.2),24.3(75.7),19.8(67.6),17.0(62.6),22.8(73.0)
11.9(53.4),12.7(54.9),14.6(58.3),16.2(61.2),19.0(66.2),22.9(73.2),25.6(78.1),26.1(79.0),23.5(74.3),19.7(67.5),15.3(59.5),12.6(54.7),18.3(64.9)
7.1(44.8),7.8(46.0),9.7(49.5),11.5(52.7),14.6(58.3),18.6(65.5),21.5(70.7),21.9(71.4),19.1(66.4),15.2(59.4),10.8(51.4),8.1(46.6),13.8(56.8)
−2.6(27.3),−1.2(29.8),1.2(34.2),3.0(37.4),6.0(42.8),10.6(51.1),16.0(60.8),16.2(61.2),11.6(52.9),6.3(43.3),1.6(34.9),−0.3(31.5),−2.6(27.3)
37(1.5),36(1.4),33(1.3),38(1.5),39(1.5),22(0.9),8(0.3),20(0.8),70(2.8),77(3.0),47(1.9),48(1.9),475(18.7)
4.4,3.9,3.6,4.8,4.3,2.6,1.1,2.4,5.0,5.0,4.3,4.8,46.3
171,171,215,234,259,276,315,288,235,202,167,155,"2,696"
